buyingPrice,maintenancePrice,doors,seats,luggageBoot,safety,acceptability
vhigh,vhigh,2,2,small,low,no
vhigh,vhigh,2,2,small,med,no
vhigh,vhigh,2,2,small,high,no
vhigh,vhigh,2,2,med,low,no
vhigh,vhigh,2,2,med,med,no
vhigh,vhigh,2,2,med,high,no
vhigh,vhigh,2,2,big,low,no
vhigh,vhigh,2,2,big,med,no
vhigh,vhigh,2,2,big,high,no
vhigh,vhigh,2,4,small,low,no
vhigh,vhigh,2,4,small,med,no
vhigh,vhigh,2,4,small,high,no
vhigh,vhigh,2,4,med,low,no
vhigh,vhigh,2,4,med,med,no
vhigh,vhigh,2,4,med,high,no
vhigh,vhigh,2,4,big,low,no
vhigh,vhigh,2,4,big,med,no
vhigh,vhigh,2,4,big,high,no
vhigh,vhigh,2,more,small,low,no
vhigh,vhigh,2,more,small,med,no
vhigh,vhigh,2,more,small,high,no
vhigh,vhigh,2,more,med,low,no
vhigh,vhigh,2,more,med,med,no
vhigh,vhigh,2,more,med,high,no
vhigh,vhigh,2,more,big,low,no
vhigh,vhigh,2,more,big,med,no
vhigh,vhigh,2,more,big,high,no
vhigh,vhigh,3,2,small,low,no
vhigh,vhigh,3,2,small,med,no
vhigh,vhigh,3,2,small,high,no
vhigh,vhigh,3,2,med,low,no
vhigh,vhigh,3,2,med,med,no
vhigh,vhigh,3,2,med,high,no
vhigh,vhigh,3,2,big,low,no
vhigh,vhigh,3,2,big,med,no
vhigh,vhigh,3,2,big,high,no
vhigh,vhigh,3,4,small,low,no
vhigh,vhigh,3,4,small,med,no
vhigh,vhigh,3,4,small,high,no
vhigh,vhigh,3,4,med,low,no
vhigh,vhigh,3,4,med,med,no
vhigh,vhigh,3,4,med,high,no
vhigh,vhigh,3,4,big,low,no
vhigh,vhigh,3,4,big,med,no
vhigh,vhigh,3,4,big,high,no
vhigh,vhigh,3,more,small,low,no
vhigh,vhigh,3,more,small,med,no
vhigh,vhigh,3,more,small,high,no
vhigh,vhigh,3,more,med,low,no
vhigh,vhigh,3,more,med,med,no
vhigh,vhigh,3,more,med,high,no
vhigh,vhigh,3,more,big,low,no
vhigh,vhigh,3,more,big,med,no
vhigh,vhigh,3,more,big,high,no
vhigh,vhigh,4,2,small,low,no
vhigh,vhigh,4,2,small,med,no
vhigh,vhigh,4,2,small,high,no
vhigh,vhigh,4,2,med,low,no
vhigh,vhigh,4,2,med,med,no
vhigh,vhigh,4,2,med,high,no
vhigh,vhigh,4,2,big,low,no
vhigh,vhigh,4,2,big,med,no
vhigh,vhigh,4,2,big,high,no
vhigh,vhigh,4,4,small,low,no
vhigh,vhigh,4,4,small,med,no
vhigh,vhigh,4,4,small,high,no
vhigh,vhigh,4,4,med,low,no
vhigh,vhigh,4,4,med,med,no
vhigh,vhigh,4,4,med,high,no
vhigh,vhigh,4,4,big,low,no
vhigh,vhigh,4,4,big,med,no
vhigh,vhigh,4,4,big,high,no
vhigh,vhigh,4,more,small,low,no
vhigh,vhigh,4,more,small,med,no
vhigh,vhigh,4,more,small,high,no
vhigh,vhigh,4,more,med,low,no
vhigh,vhigh,4,more,med,med,no
vhigh,vhigh,4,more,med,high,no
vhigh,vhigh,4,more,big,low,no
vhigh,vhigh,4,more,big,med,no
vhigh,vhigh,4,more,big,high,no
vhigh,vhigh,5more,2,small,low,no
vhigh,vhigh,5more,2,small,med,no
vhigh,vhigh,5more,2,small,high,no
vhigh,vhigh,5more,2,med,low,no
vhigh,vhigh,5more,2,med,med,no
vhigh,vhigh,5more,2,med,high,no
vhigh,vhigh,5more,2,big,low,no
vhigh,vhigh,5more,2,big,med,no
vhigh,vhigh,5more,2,big,high,no
vhigh,vhigh,5more,4,small,low,no
vhigh,vhigh,5more,4,small,med,no
vhigh,vhigh,5more,4,small,high,no
